date,signal,active_markets,total_volume
2025-06-12,0.017285,6,3000.0
2025-06-13,0.015505,6,3000.0
2025-06-14,0.015503333333333334,6,3000.0
2025-06-15,0.01535666666666667,6,3000.0
2025-06-16,0.014015000000000003,6,3000.0
2025-06-17,0.014136666666666667,6,3000.0
2025-06-18,0.013671666666666669,6,3000.0
2025-06-19,0.014046666666666669,6,3000.0
2025-06-20,0.014066666666666668,6,3000.0
2025-06-21,0.013916666666666667,6,3000.0
2025-06-22,0.013981666666666668,6,3000.0
2025-06-23,0.014110000000000001,6,3000.0
2025-06-24,0.014083333333333333,6,3000.0
2025-06-25,0.014641666666666666,6,3000.0
2025-06-26,0.014074999999999999,6,3000.0
2025-06-27,0.013783333333333331,6,3000.0
2025-06-28,0.013394999999999999,6,3000.0
2025-06-29,0.015438333333333333,6,3000.0
2025-06-30,0.015356666666666666,6,3000.0
2025-07-01,0.015213333333333334,6,3000.0
2025-07-02,0.014701666666666665,6,3000.0
2025-07-03,0.013478333333333332,6,3000.0
2025-07-04,0.012973333333333333,6,3000.0
2025-07-05,0.01297,6,3000.0
2025-07-06,0.012786666666666668,6,3000.0
2025-07-07,0.012925000000000002,6,3000.0
2025-07-08,0.01327666666666667,6,3000.0
2025-07-09,0.012748333333333335,6,3000.0
2025-07-10,0.012558333333333333,6,3000.0
2025-07-11,0.012435,6,3000.0
2025-07-12,0.012084999999999999,6,3000.0
2025-07-13,0.012501666666666664,6,3000.0
2025-07-14,0.012468333333333333,6,3000.0
2025-07-15,0.01246,6,3000.0
2025-07-16,0.01295,6,3000.0
2025-07-17,0.012799999999999999,6,3000.0
2025-07-18,0.012906666666666664,6,3000.0
2025-07-19,0.012699999999999998,6,3000.0
2025-07-20,0.0125,6,3000.0
2025-07-21,0.012641666666666667,6,3000.0
2025-07-22,0.012571666666666668,6,3000.0
2025-07-23,0.012661666666666667,6,3000.0
2025-07-24,0.012668333333333334,6,3000.0
2025-07-25,0.012530000000000001,6,3000.0
2025-07-26,0.012066666666666665,6,3000.0
2025-07-27,0.012356666666666667,6,3000.0
2025-07-28,0.012566666666666665,6,3000.0
2025-07-29,0.012443333333333336,6,3000.0
2025-07-30,0.012143333333333334,6,3000.0
2025-07-31,0.012276666666666668,6,3000.0
2025-08-01,0.012218333333333335,6,3000.0
2025-08-02,0.012061666666666665,6,3000.0
2025-08-03,0.011968333333333334,6,3000.0
2025-08-04,0.012236666666666667,6,3000.0
2025-08-05,0.011925,6,3000.0
2025-08-06,0.011858333333333332,6,3000.0
2025-08-07,0.011766666666666665,6,3000.0
2025-08-08,0.011716666666666667,6,3000.0
2025-08-09,0.011041666666666667,6,3000.0
2025-08-10,0.011291666666666667,6,3000.0
2025-08-11,0.010538333333333334,6,3000.0
2025-08-12,0.010021666666666667,6,3000.0
2025-08-13,0.31331000000000003,11,5500.0
2025-08-14,0.26909,11,5500.0
2025-08-15,0.27138090909090906,11,5500.0
2025-08-16,0.26868,11,5500.0
2025-08-17,0.2633290909090909,11,5500.0
2025-08-18,0.27120090909090905,11,5500.0
2025-08-19,0.2690436363636364,11,5500.0
2025-08-20,0.2687918181818182,11,5500.0
2025-08-21,0.26461090909090906,11,5500.0
2025-08-22,0.27055999999999997,11,5500.0
2025-08-23,0.2666236363636364,11,5500.0
2025-08-24,0.26820363636363637,11,5500.0
2025-08-25,0.27080999999999994,11,5500.0
2025-08-26,0.2720990909090909,11,5500.0
