rank,sector,question,volume,slug,filename,status
1,Geopolitics & Foreign Policy (Comprehensive),Trump ends Ukraine war in first 90 days?,56491984.2956951,trump-wins-ends-ukraine-war-in-90-days,geopolitics__foreign_policy_comprehensive/trump-wins-ends-ukraine-war-in-90-days_510319.csv,Saved
2,Geopolitics & Foreign Policy (Comprehensive),India agrees to reduce purchases Russian oil by August 31?,64731.364772,india-agrees-to-reduce-purchases-russian-oil-by-august-31,geopolitics__foreign_policy_comprehensive/india-agrees-to-reduce-purchases-russian-oil-by-august-31_573162.csv,Saved
3,Geopolitics & Foreign Policy (Comprehensive),India agrees to reduce purchases Russian oil by September 30?,47654.021817,india-agrees-to-reduce-purchases-russian-oil-by-september-30,geopolitics__foreign_policy_comprehensive/india-agrees-to-reduce-purchases-russian-oil-by-september-30_581797.csv,Saved
