Date,Price,Open,High,Low,Volume
"Jan 02, 2020",3257.85,3244.67,3258.14,3235.53,0
"Jan 03, 2020",3234.85,3226.36,3246.15,3222.34,0
"Jan 06, 2020",3246.28,3217.55,3246.84,3214.64,0
"Jan 07, 2020",3237.18,3241.86,3244.91,3232.43,0
"Jan 08, 2020",3253.05,3238.59,3267.07,3236.67,0
"Jan 09, 2020",3274.7,3266.03,3275.58,3263.67,0
"Jan 10, 2020",3265.35,3281.81,3282.99,3260.86,0
"Jan 13, 2020",3288.13,3271.13,3288.13,3268.43,0
"Jan 14, 2020",3283.15,3285.35,3294.25,3277.19,0
"Jan 15, 2020",3289.29,3282.27,3298.66,3280.69,0
"Jan 16, 2020",3316.81,3302.97,3317.11,3302.82,0
"Jan 17, 2020",3329.62,3323.66,3329.88,3318.86,0
"Jan 21, 2020",3320.79,3321.03,3329.79,3316.61,0
"Jan 22, 2020",3321.75,3330.02,3337.77,3320.04,0
"Jan 23, 2020",3325.54,3315.77,3326.88,3301.87,0
"Jan 24, 2020",3295.47,3333.1,3333.18,3281.53,0
"Jan 27, 2020",3243.63,3247.16,3258.85,3234.5,0
"Jan 28, 2020",3276.24,3255.35,3285.78,3253.22,0
"Jan 29, 2020",3273.4,3289.46,3293.47,3271.89,0
"Jan 30, 2020",3283.66,3256.45,3285.91,3242.8,0
"Jan 31, 2020",3225.52,3282.33,3282.33,3214.68,0
"Feb 03, 2020",3248.92,3235.66,3268.44,3235.66,0
"Feb 04, 2020",3297.59,3280.61,3306.92,3280.61,0
"Feb 05, 2020",3334.69,3324.91,3337.58,3313.75,0
"Feb 06, 2020",3345.78,3344.92,3347.96,3334.39,0
"Feb 07, 2020",3327.71,3335.54,3341.42,3322.12,0
"Feb 10, 2020",3352.09,3318.28,3352.26,3317.77,0
"Feb 11, 2020",3357.75,3365.87,3375.63,3352.72,0
"Feb 12, 2020",3379.45,3370.5,3381.47,3369.72,0
"Feb 13, 2020",3373.94,3365.9,3385.09,3360.52,0
"Feb 14, 2020",3380.16,3378.08,3380.69,3366.15,0
"Feb 18, 2020",3370.29,3369.04,3375.01,3355.61,0
"Feb 19, 2020",3386.15,3380.39,3393.52,3378.83,0
"Feb 20, 2020",3373.23,3380.45,3389.15,3341.02,0
"Feb 21, 2020",3337.75,3360.5,3360.76,3328.45,0
"Feb 24, 2020",3225.89,3257.61,3259.81,3214.65,0
"Feb 25, 2020",3128.21,3238.94,3246.99,3118.77,0
"Feb 26, 2020",3116.39,3139.9,3182.51,3108.99,0
"Feb 27, 2020",2978.76,3062.54,3097.07,2977.39,0
"Feb 28, 2020",2954.22,2916.9,2959.72,2855.84,0
"Mar 02, 2020",3090.23,2974.28,3090.96,2945.19,0
"Mar 03, 2020",3003.37,3096.46,3136.72,2976.63,0
"Mar 04, 2020",3130.12,3045.75,3130.97,3034.38,0
"Mar 05, 2020",3023.94,3075.7,3083.04,2999.83,0
"Mar 06, 2020",2972.37,2954.2,2985.93,2901.54,0
"Mar 09, 2020",2746.56,2863.89,2863.89,2734.43,0
"Mar 10, 2020",2882.23,2813.48,2882.59,2734.0,0
"Mar 11, 2020",2741.38,2825.6,2825.6,2707.22,0
"Mar 12, 2020",2480.64,2630.86,2660.95,2478.86,0
"Mar 13, 2020",2711.02,2569.99,2711.33,2492.37,0
"Mar 16, 2020",2386.13,2508.59,2562.98,2380.94,0
"Mar 17, 2020",2529.19,2425.66,2553.93,2367.04,0
"Mar 18, 2020",2398.1,2436.5,2453.57,2280.52,0
"Mar 19, 2020",2409.39,2393.48,2466.97,2319.78,0
"Mar 20, 2020",2304.92,2431.94,2453.01,2295.56,0
"Mar 23, 2020",2237.4,2290.71,2300.73,2191.86,0
"Mar 24, 2020",2447.33,2344.44,2449.71,2344.44,0
"Mar 25, 2020",2475.56,2457.77,2571.42,2407.53,0
"Mar 26, 2020",2630.07,2501.29,2637.01,2500.72,0
"Mar 27, 2020",2541.47,2555.87,2615.91,2520.02,0
"Mar 30, 2020",2626.65,2558.98,2631.8,2545.28,0
"Mar 31, 2020",2584.59,2614.69,2641.39,2571.15,0
"Apr 01, 2020",2470.5,2498.08,2522.75,2447.49,0
"Apr 02, 2020",2526.9,2458.54,2533.22,2455.79,0
"Apr 03, 2020",2488.65,2514.92,2538.18,2459.96,0
"Apr 06, 2020",2663.68,2578.28,2676.85,2574.57,0
"Apr 07, 2020",2659.41,2738.65,2756.89,2657.67,0
"Apr 08, 2020",2749.98,2685.0,2760.75,2663.3,0
"Apr 09, 2020",2789.82,2776.99,2818.57,2762.36,0
"Apr 13, 2020",2761.63,2782.46,2782.46,2721.17,0
"Apr 14, 2020",2846.06,2805.1,2851.85,2805.1,0
"Apr 15, 2020",2783.36,2795.64,2801.88,2761.54,0
"Apr 16, 2020",2799.55,2799.34,2806.51,2764.32,0
"Apr 17, 2020",2874.56,2842.43,2879.22,2830.88,0
"Apr 20, 2020",2823.16,2845.62,2868.98,2820.43,0
"Apr 21, 2020",2736.56,2784.81,2785.54,2727.1,0
"Apr 22, 2020",2799.31,2787.89,2815.1,2775.95,0
"Apr 23, 2020",2797.8,2810.42,2844.9,2794.26,0
"Apr 24, 2020",2836.74,2812.64,2842.71,2791.76,0
"Apr 27, 2020",2878.48,2854.65,2887.72,2852.89,0
"Apr 28, 2020",2863.39,2909.96,2921.15,2860.71,0
"Apr 29, 2020",2939.51,2918.46,2954.86,2912.16,0
"Apr 30, 2020",2912.43,2930.91,2930.91,2892.47,0
"May 01, 2020",2830.71,2869.09,2869.09,2821.61,0
"May 04, 2020",2842.74,2815.01,2844.24,2797.85,0
"May 05, 2020",2868.44,2868.88,2898.23,2863.55,0
"May 06, 2020",2848.42,2883.14,2891.11,2847.65,0
"May 07, 2020",2881.19,2878.26,2901.92,2876.48,0
"May 08, 2020",2929.8,2908.83,2932.16,2902.88,0
"May 11, 2020",2930.19,2915.46,2944.25,2903.44,0
"May 12, 2020",2870.12,2939.5,2945.82,2869.59,0
"May 13, 2020",2820.0,2865.86,2874.14,2793.15,0
"May 14, 2020",2852.5,2794.54,2852.8,2766.64,0
"May 15, 2020",2863.7,2829.95,2865.01,2816.78,0
"May 18, 2020",2953.91,2913.86,2968.09,2913.86,0
"May 19, 2020",2922.94,2948.59,2964.21,2922.35,0
"May 20, 2020",2971.61,2953.63,2980.29,2953.63,0
"May 21, 2020",2948.51,2969.95,2978.5,2938.57,0
"May 22, 2020",2955.45,2948.05,2956.76,2933.59,0
"May 26, 2020",2991.77,3004.08,3021.72,2988.17,0
"May 27, 2020",3036.13,3015.65,3036.25,2969.75,0
"May 28, 2020",3029.73,3046.61,3068.67,3023.4,0
"May 29, 2020",3044.31,3025.17,3049.17,2998.61,0
"Jun 01, 2020",3055.73,3038.78,3062.18,3031.54,0
"Jun 02, 2020",3080.82,3064.78,3081.07,3051.64,0
"Jun 03, 2020",3122.87,3098.9,3130.94,3098.9,0
"Jun 04, 2020",3112.35,3111.56,3128.91,3090.41,0
"Jun 05, 2020",3193.93,3163.84,3211.72,3163.84,0
"Jun 08, 2020",3232.39,3199.92,3233.13,3196.0,0
"Jun 09, 2020",3207.18,3213.32,3222.71,3193.11,0
"Jun 10, 2020",3190.14,3213.42,3223.27,3181.49,0
"Jun 11, 2020",3002.1,3123.53,3123.53,2999.49,0
"Jun 12, 2020",3041.31,3071.04,3088.42,2984.47,0
"Jun 15, 2020",3066.59,2993.76,3079.76,2965.66,0
"Jun 16, 2020",3124.74,3131.0,3153.45,3076.06,0
"Jun 17, 2020",3113.49,3136.13,3141.16,3108.03,0
"Jun 18, 2020",3115.34,3101.64,3120.0,3093.51,0
"Jun 19, 2020",3097.74,3140.29,3155.53,3083.11,0
"Jun 22, 2020",3117.86,3094.42,3120.92,3079.39,0
"Jun 23, 2020",3131.29,3138.7,3154.9,3127.12,0
"Jun 24, 2020",3050.33,3114.4,3115.01,3032.13,0
"Jun 25, 2020",3083.76,3046.6,3086.25,3024.01,0
"Jun 26, 2020",3009.05,3073.2,3073.73,3004.63,0
"Jun 29, 2020",3053.24,3018.59,3053.89,2999.74,0
"Jun 30, 2020",3100.29,3050.2,3111.51,3047.83,0
"Jul 01, 2020",3115.86,3105.92,3128.44,3101.17,0
"Jul 02, 2020",3130.01,3143.64,3165.81,3124.52,0
"Jul 06, 2020",3179.72,3155.29,3182.59,3155.29,0
"Jul 07, 2020",3145.32,3166.44,3184.15,3142.93,0
"Jul 08, 2020",3169.94,3153.07,3171.8,3136.53,0
"Jul 09, 2020",3152.05,3176.17,3179.78,3115.7,0
"Jul 10, 2020",3185.04,3152.47,3186.82,3136.22,0
"Jul 13, 2020",3155.22,3205.08,3235.32,3149.43,0
"Jul 14, 2020",3197.52,3141.11,3200.95,3127.66,0
"Jul 15, 2020",3226.56,3225.98,3238.28,3200.76,0
"Jul 16, 2020",3215.57,3208.36,3220.39,3198.59,0
"Jul 17, 2020",3224.73,3224.21,3233.52,3205.65,0
"Jul 20, 2020",3251.84,3224.29,3258.61,3215.16,0
"Jul 21, 2020",3257.3,3268.52,3277.29,3247.77,0
"Jul 22, 2020",3276.02,3254.86,3279.32,3253.1,0
"Jul 23, 2020",3235.66,3271.64,3279.99,3222.66,0
"Jul 24, 2020",3215.63,3218.58,3227.26,3200.05,0
"Jul 27, 2020",3239.41,3219.84,3241.43,3214.25,0
"Jul 28, 2020",3218.44,3234.27,3243.72,3216.17,0
"Jul 29, 2020",3258.44,3227.22,3264.74,3227.22,0
"Jul 30, 2020",3246.22,3231.76,3250.92,3204.13,0
"Jul 31, 2020",3271.12,3270.45,3272.17,3220.26,0
