date,Close,signal_raw,signal_value,future_return,Open,High,Low,upper_quantile,lower_quantile,position,strategy_return
2018-11-28,4265.4,175112664.8668014,0.08239880591089266,-0.09466872977915308,4265.4,4265.4,4265.4,3.071443587660151,-0.7134904698501782,0,-0.0
2018-11-29,4296.5,178905400.63030013,0.07642597216068014,-0.13725125101827063,4296.5,4296.5,4296.5,3.030650569120226,-0.7036108308794946,0,-0.0
2018-11-30,4039.7,179073854.49766392,0.05367342340003467,-0.05562294229769538,4039.7,4039.7,4039.7,2.9898575505803153,-0.6937311919088112,0,-0.0
2018-12-01,4196.2,179488336.81746954,0.0583566970912075,-0.11600972308278912,4196.2,4196.2,4196.2,2.9490645320403903,-0.6838515529381276,0,-0.0
2018-12-02,4160.4,179742796.33896968,0.05286337589049106,-0.08436688779924995,4160.4,4160.4,4160.4,2.90827151350048,-0.6739719139674442,0,-0.0
2018-12-03,3897.8,179261826.46996272,0.05018199072815488,-0.006157319513571791,3897.8,3897.8,3897.8,2.8674784949605403,-0.6640922749967606,0,-0.0
2018-12-04,3958.5,180216664.34781665,0.04825479876332328,-0.045067576102058915,3958.5,3958.5,3958.5,2.8266854764206295,-0.654212636026077,0,-0.0
2018-12-05,3771.6,179191321.06638327,0.023291611732847883,0.008245837310425275,3771.6,3771.6,3771.6,2.785892457880719,-0.6443329970553936,0,0.0
2018-12-06,3508.6,179672596.28813562,0.004288275564251265,0.07889186570141948,3508.6,3508.6,3508.6,2.7450994393408084,-0.63445335808471,0,0.0
2018-12-07,3422.2,182203423.4081703,0.01747641451782811,0.1700368184208989,3422.2,3422.2,3422.2,2.7043064208008687,-0.6245737191140266,0,0.0
2018-12-08,3430.4,185925217.406776,0.03586238918605855,0.16193446828358216,3430.4,3430.4,3430.4,2.663513402260958,-0.614694080143343,0,0.0
2018-12-09,3567.5,186362017.8059948,0.036826073711138996,0.11310441485634204,3567.5,3567.5,3567.5,2.6227203837210475,-0.6048144411726595,0,0.0
2018-12-10,3460.5,186009059.83972755,0.03763898596054638,0.14954486345903772,3460.5,3460.5,3460.5,2.581927365181108,-0.594934802201976,0,0.0
2018-12-11,3407.7,191717217.41606736,0.06381514778264208,0.05751680018780991,3407.7,3407.7,3407.7,2.541134346641197,-0.5850551632312925,0,0.0
2018-12-12,3466.1,191980058.29880187,0.07136917768289064,0.04339170826000416,3466.1,3466.1,3466.1,2.5003413281012867,-0.575175524260609,0,0.0
2018-12-13,3315.3,202349331.8434995,0.12621143136929946,0.08503001236690477,3315.3,3315.3,3315.3,2.459548309561376,-0.5652958852899255,0,0.0
2018-12-14,3247.8,201945777.79337656,0.10835336689025654,0.07463513763162744,3247.8,3247.8,3247.8,2.4187552910214363,-0.5554162463192419,0,0.0
2018-12-15,3228.7,204783087.58775824,0.10142717832473513,0.12680026016663049,3228.7,3228.7,3228.7,2.377962272481526,-0.5455366073485585,0,0.0
2018-12-16,3247.9,204422469.51165003,0.09691058252254159,0.09957203115859481,3247.9,3247.9,3247.9,2.337169253941615,-0.5356569683778749,0,0.0
2018-12-17,3526.1,204836482.42277375,0.10121777186158898,0.017554805592581157,3526.1,3526.1,3526.1,2.2963762354016755,-0.5257773294071915,0,0.0
2018-12-18,3668.0,215286064.69181547,0.12293547545392691,-0.011341330425299834,3668.0,3668.0,3668.0,2.255583216861765,-0.5158976904365079,0,-0.0
2018-12-19,3687.1,214184707.21616104,0.1156612260362968,-0.022104092647338036,3687.1,3687.1,3687.1,2.2147901983218543,-0.5060180514658245,0,-0.0
2018-12-20,4076.0,224129739.04976177,0.10763765320019747,-0.0976938174681059,4076.0,4076.0,4076.0,2.1739971797819435,-0.4961384124951409,0,-0.0
2018-12-21,3850.9,225824770.78037697,0.11824457657853338,-0.08013711080526631,3850.9,3850.9,3850.9,2.1332041612420043,-0.4862587735244574,0,-0.0
2018-12-22,3964.4,228925653.87133193,0.11789336008144513,-0.10788517808495612,3964.4,3964.4,3964.4,2.0924111427020935,-0.4763791345537739,0,-0.0
2018-12-23,3944.4,229078540.8610935,0.12061331324460056,-0.09235878714126355,3944.4,3944.4,3944.4,2.0516181241621827,-0.46649949558309034,0,-0.0
2018-12-24,4026.1,227697886.948026,0.11160807027562258,-0.11539703435086057,4026.1,4026.1,4026.1,2.0108251056222723,-0.45661985661240684,0,-0.0
2018-12-25,3762.5,228237620.82763207,0.060159751418917384,-0.050019933554817264,3762.5,3762.5,3762.5,1.9700320870823327,-0.44674021764172334,0,-0.0
2018-12-26,3793.7,227184143.9596543,0.06069264660606177,-0.05843899095869465,3793.7,3793.7,3793.7,1.9292390685424219,-0.43686057867103983,0,-0.0
2018-12-27,3586.9,229152576.3838915,0.022410401026766724,-0.00446067635005154,3586.9,3586.9,3586.9,1.8884460500025113,-0.42698093970035633,0,-0.0
2018-12-28,3861.6,238408338.7542025,0.05572270894083409,-0.07924176507147296,3861.6,3861.6,3861.6,1.8476530314625719,-0.4171013007296728,0,-0.0
