question,volume,included_in_signal,slug,source_file
Will Lee Jae-myung be elected the next president of South Korea?,88035547.447225,False,will-lee-jae-myung-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Kim Moon-soo be elected the next president of South Korea?,73197949.803466,False,will-kim-moon-soo-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Lee Jun-seok be elected the next president of South Korea?,51905307.266619,False,will-lee-jun-seok-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Xi Jinping out in 2025?,42576152.442063,False,xi-jinping-out-in-2025,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Han Dong-hoon be elected the next president of South Korea?,12733593.001313,False,will-han-dong-hoon-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Han Duck-soo be elected the next president of South Korea?,11957034.639752,False,will-han-duck-soo-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Yoo Seong-min be elected the next president of South Korea?,8769788.891732,False,will-yoo-seong-min-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Yoon Suk Yeol be elected the next president of South Korea?,8070735.318291,False,will-yoon-suk-yeol-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Kim Dong-yeon be elected the next president of South Korea?,7888208.010183,False,will-kim-dong-yeon-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Lee Nak-yon be elected the next president of South Korea?,5753948.667076,False,will-lee-nak-yon-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Lee Jun-seok win 2nd place in the South Korean presidential election?,5714121.72447,False,will-lee-jun-seok-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Kim Kyoung-soo be elected the next president of South Korea?,4647400.034245,False,will-kim-kyoung-soo-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Ahn Cheol-soo be elected the next president of South Korea?,4565521.929049,False,will-ahn-cheol-soo-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Xi Jinping out before October?,4472728.61844,False,xi-jinping-out-before-october,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Hong Joon-pyo be elected the next president of South Korea?,4457911.683177,False,will-hong-joon-pyo-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Han Duck-soo win 2nd place in the South Korean presidential election?,4288767.039625,False,will-han-duck-soo-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Kim Moon-soo win 2nd place in the South Korean presidential election?,4024661.567987,False,will-kim-moon-soo-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Na Kyung-won be elected the next president of South Korea?,3259437.761553,False,will-na-kyung-won-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Lee Jae-myung win 2nd place in the South Korean presidential election?,2392656.791775,False,will-lee-jae-myung-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Xi Jinping out by end of 2026?,2106226.334896,False,xi-jinping-out-before-2027,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Oh Se-hoon be elected the next president of South Korea?,2049072.85254,False,will-oh-se-hoon-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Kim Boo-kyum be elected the next president of South Korea?,1420675.714832,False,will-kim-boo-kyum-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Han Dong-hoon win 2nd place in the South Korean presidential election?,1070477.80612,False,will-han-dong-hoon-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Won Hee-ryong be elected the next president of South Korea?,1000540.425978,False,will-won-hee-ryong-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Trump gets more black voters than in 2020?,888499.13331,False,trump-increase-share-of-black-voters,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Geert Wilders become the next Prime Minister of the Netherlands?,828151.819663,False,will-geert-wilders-become-the-next-prime-minister-of-the-netherlands,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Marco Francis win the 2025 Seychelles presidential election?,729054.561386,False,will-marco-francis-win-the-2025-seychelles-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Cho Kuk be elected the next president of South Korea?,720986.344995,False,will-cho-kuk-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Hwang Kyo-ahn win 2nd place in the South Korean presidential election?,507936.643206,False,will-hwang-kyo-ahn-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Russia capture Rodynske by August 31?,471024.387734,False,will-russia-capture-rodynske-by-august-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
Pedro Sánchez out as PM of Spain in 2025?,443612.851208,False,pedro-snchez-out-as-pm-of-spain-in-2025,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Medina and Quiroga advance to the Bolivian presidential runoff?,417503.160442,False,will-medina-and-quiroga-advance-to-the-bolivian-presidential-runoff,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Progress Singapore Party (PSP) win the 2025 Singapore parliamentary election?,341164.400658,False,will-progress-singapore-party-psp-win-the-2025-singapore-parliamentary-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Ukraine hits Moscow by July 31?,330859.0402,False,ukraine-hits-moscow-by-july-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Russia capture Lyman by December 31?,316409.881171,False,will-russia-capture-lyman-in-2025-816,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will another pairing advance to the Bolivian presidential runoff?,312131.861733,False,will-another-pairing-advance-to-the-bolivian-presidential-runoff,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Lee Nak-yon win 2nd place in the South Korean presidential election?,310461.211,False,will-lee-nak-yon-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Wavel Ramkalawan win the 2025 Seychelles presidential election?,298235.064867,False,will-wavel-ramkalawan-win-the-2025-seychelles-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Keir Starmer be next UK prime minister?,295470.708568,False,will-keir-starmer-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Russia capture Slovainsk in 2025?,287105.665188,False,will-russia-capture-slovainsk-in-2025,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Russia capture Novopavlivka by August 31?,264459.039321,False,will-russia-capture-novopavlivka-by-august-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Russia capture Myrnohard by September 30?,238598.059036,False,arch-will-russia-capture-myrnohard-by-september-30,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Suella Braverman be next UK prime minister?,237294.962826,False,will-suella-braverman-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Labor win the Seat of Bennelong in the 2025 Australian Election?,225185.615153,False,will-labor-win-the-seat-of-bennelong-in-the-2025-australian-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Henri Bontenbal become the next Prime Minister of the Netherlands?,218737.255154,False,will-henri-bontenbal-become-the-next-prime-minister-of-the-netherlands,_manifest_geopolitics__foreign_policy_comprehensive.csv
