timestamp,yes,no
2024-03-26 00:00:02,0.55,0.45
2024-03-27 00:00:03,0.205,0.795
2024-03-28 00:00:03,0.31,0.69
2024-03-29 00:00:02,0.57,0.43
2024-03-30 00:00:02,0.335,0.665
2024-03-31 00:00:03,0.54,0.46
2024-04-01 00:00:02,0.535,0.465
2024-04-02 00:00:03,0.755,0.245
2024-04-03 00:00:03,0.75,0.25
2024-04-04 00:00:03,0.9,0.1
2024-04-05 00:00:03,0.625,0.375
