date,signal
2025-08-06,0.06041666666666665
2025-08-07,0.06079166666666666
2025-08-08,0.06077083333333333
2025-08-09,0.06114583333333332
2025-08-10,0.06137499999999999
2025-08-11,0.06122916666666666
2025-08-12,0.061437500000000006
2025-08-13,0.061187500000000006
2025-08-14,0.06260416666666667
2025-08-15,0.060520833333333336
2025-08-16,0.060854166666666674
2025-08-17,0.06087499999999999
2025-08-18,0.06087499999999999
2025-08-19,0.06006249999999999
2025-08-20,0.05952083333333333
2025-08-21,0.059250000000000004
2025-08-22,0.058125
2025-08-23,0.05910416666666667
2025-08-24,0.05675
2025-08-25,0.05466666666666667
2025-08-26,0.054291666666666676
2025-08-27,0.055750000000000015
2025-08-28,0.05658333333333334
2025-08-29,0.056791666666666664
2025-08-30,0.05633333333333334
2025-08-31,0.05635416666666666
2025-09-01,0.05685416666666666
2025-09-02,0.056729166666666664
2025-09-03,0.056375
2025-09-04,0.05708333333333334
2025-09-05,0.05629166666666666
2025-09-06,0.06191666666666667
2025-09-07,0.05664583333333332
2025-09-08,0.05841666666666667
2025-09-09,0.05797916666666666
2025-09-10,0.060125000000000005
2025-09-11,0.06120833333333334
2025-09-12,0.06766666666666667
2025-09-13,0.06874999999999999
2025-09-14,0.06752083333333332
2025-09-15,0.069375
2025-09-16,0.06941666666666667
2025-09-17,0.0700625
2025-09-18,0.07322916666666666
2025-09-19,0.074125
2025-09-20,0.07633333333333335
2025-09-21,0.07614583333333333
2025-09-22,0.0756875
2025-09-23,0.07525
2025-09-24,0.07391666666666667
2025-09-25,0.07408333333333333
2025-09-26,0.06966666666666667
2025-09-27,0.06854166666666667
2025-09-28,0.069
2025-09-29,0.06916666666666667
2025-09-30,0.06958333333333334
2025-10-01,0.07279166666666667
2025-10-02,0.07558333333333334
2025-10-03,0.07670833333333334
2025-10-04,0.07545833333333334
2025-10-05,0.07608333333333332
2025-10-06,0.07579166666666667
2025-10-07,0.075875
2025-10-08,0.07458333333333335
2025-10-09,0.07541666666666667
2025-10-10,0.07525
2025-10-11,0.07704166666666666
2025-10-12,0.07745833333333334
2025-10-13,0.07725
2025-10-14,0.07754166666666668
2025-10-15,0.07833333333333332
2025-10-16,0.07966666666666666
2025-10-17,0.08325
2025-10-18,0.08420833333333333
2025-10-19,0.084
2025-10-20,0.08158333333333333
2025-10-21,0.08145833333333334
2025-10-22,0.08208333333333333
2025-10-23,0.08247916666666667
